length_cm,count,proportion_of_total,cumulative_proportion
150.155763239875,47.6987447698737,0.039235931853381,0.039235931853381
180.06230529595,140.585774058577,0.11564274651523,0.154878678368611
209.968847352025,127.405857740586,0.104801239029427,0.259679917398038
239.8753894081,235.983263598326,0.194114610221993,0.453794527620031
269.781931464174,266.108786610879,0.218895198760971,0.672689726381002
298.442367601246,141.213389121339,0.116159008776458,0.78884873515746
329.595015576324,97.2803347280336,0.080020650490449,0.868869385647909
359.501557632399,64.0167364016737,0.052658750645328,0.921528136293237
389.408099688473,35.1464435146444,0.028910686628808,0.950438822922045
419.314641744548,30.1255230125523,0.024780588538978,0.975219411461023
449.221183800623,8.78661087866124,0.007227671657202,0.982447083118225
479.127725856698,8.78661087866124,0.007227671657202,0.989674754775427
509.034267912773,10.0418410041842,0.008260196179659,0.997934950955086
538.940809968847,2.51046025104608,0.002065049044915,1
